Entity,Emissions per 1000 kilocalories,Land use per 1000 kilocalories,Eutrophication per 1000 kilocalories,Water scarcity per 1000 kilocalories,Water withdrawals per 1000 kilocalories,biodiversity_1000kcal
Tofu,0.542509765,2.129853258,3.563609642,472.5427813,14.2920151,20.35056724
Tomato ketchup,2.378889224,1.352345232,8.86253877,7985.723251,464.8460888,21.06981643
Tomatoes,11.72807897,4.59135205,31.10129781,25583.60052,1505.696181,30.62658239
Tortilla wraps,0.393647572,0.979229005,2.124035013,3648.956959,98.88137842,16.15572441
Tuna,9.969608077,4.194251006,46.88463729,29350.90942,2878.041456,92.00106212
Vegan pizza,1.176188201,1.269905558,5.923387217,6462.250008,179.7528666,33.40549785
Vegetable lasagne,2.679670932,3.312006556,9.447213468,8836.892469,304.5756237,147.7141352
Vegetarian chilli con carne,1.055960549,2.562832679,4.963710986,4099.408321,112.6341941,122.6599223
Vegetarian curry,1.333769651,2.292283374,7.390412552,13735.80145,375.3756724,44.00961306
Vegetarian pizza,1.891634806,2.381732504,7.520708908,5440.252959,215.2821383,108.1809401
Walnuts,0.409580236,1.924057074,3.047816766,26311.92941,563.9028451,42.37956894
Watermelon,2.464087408,2.61677099,34.74647366,35695.62091,1971.260276,87.819304
Wine,14.62311119,15.57556689,36.80411821,10997.46737,688.7747275,372.0458955
Yoghurt,3.986662475,4.120987198,12.64963318,8260.594268,388.0150908,193.2809004
